grasp_id,label,timestamp_ms,enc_deg,s0_dx,s0_dy,s0_dz,s1_dx,s1_dy,s1_dz,s2_dx,s2_dy,s2_dz,s3_dx,s3_dy,s3_dz,s4_dx,s4_dy,s4_dz,s5_dx,s5_dy,s5_dz,t1_flag,t2_flag,t1_ms,t2_ms
6,cylinder_stiff,1580,114.224,17.929,4.725,33.705,-4.579,-16.774,45.067,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1600,114.224,21.379,6.525,55.484,-0.379,-14.824,61.765,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1620,114.136,2.029,10.425,50.161,-6.229,-17.074,33.209,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1640,114.224,5.629,12.675,60.325,1.571,-13.024,28.127,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1660,114.224,16.279,11.325,52.339,4.121,-17.674,40.711,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1680,114.224,12.079,-1.725,45.321,5.321,-11.824,35.145,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1700,114.224,9.079,11.925,38.786,2.621,-13.774,39.501,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1720,114.224,19.879,6.225,52.339,-1.129,-14.674,40.469,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1740,114.224,21.079,7.275,52.823,7.121,-7.474,38.533,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1760,114.224,15.679,6.975,62.503,3.221,-12.574,34.419,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1780,114.224,12.979,17.025,36.367,2.021,-11.974,28.369,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1800,114.224,8.029,2.475,57.905,0.221,-9.724,37.323,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1820,114.224,18.079,11.175,54.033,-7.279,-14.824,41.195,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1840,114.224,9.829,6.525,48.708,5.471,-16.174,35.145,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1860,114.224,16.879,3.675,46.773,1.421,-0.124,32.483,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1880,114.224,11.779,7.725,60.809,-1.429,-24.424,30.547,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,6,0
6,cylinder_stiff,1900,114.224,13.879,14.475,50.645,-4.429,-4.774,44.099,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,1,6,1900
7,cylinder_stiff,5,60.632,8.629,11.175,55.969,5.621,-8.074,39.743,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,1,0,5,0
7,cylinder_stiff,24,60.632,-4.421,-2.175,3.455,-6.379,2.576,-9.625,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,44,60.896,5.929,4.575,-12.276,2.021,-0.874,-12.045,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,62,61.512,-8.771,-4.575,-6.467,5.621,-4.474,3.201,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,81,62.128,-1.421,1.125,-6.951,4.421,-6.274,1.507,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,100,63.008,-0.971,-3.675,-3.079,-0.679,12.626,-10.351,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,120,63.888,-2.171,-9.075,-1.143,-9.679,-3.724,-1.639,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,140,64.768,-1.271,6.675,-2.595,-3.229,-5.674,-16.885,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,160,65.824,2.629,2.775,-6.225,3.221,-0.274,5.137,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,180,66.968,-1.871,-8.775,-5.500,-4.879,-0.724,-1.397,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,200,68.112,-0.221,-12.225,0.067,7.421,-1.774,-12.771,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,220,69.256,-10.121,3.675,5.149,-10.579,1.076,9.493,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,240,70.400,0.379,4.575,-0.901,0.371,-11.824,-5.511,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,260,71.456,-0.371,-13.275,8.779,3.221,-4.774,1.023,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,280,72.512,-7.571,-1.125,3.697,2.471,-5.374,-5.027,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,300,73.656,5.329,-11.475,9.021,-4.579,-4.024,-2.123,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,320,74.888,1.579,-11.175,4.422,2.621,-3.424,8.041,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,340,76.032,-4.571,-5.775,-7.919,-2.179,-5.824,1.507,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,360,77.176,15.379,-7.125,7.085,3.221,-5.824,12.639,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
7,cylinder_stiff,380,78.320,-10.571,-14.325,-5.741,-2.779,-4.774,-6.721,-0.025,-25.112,-30.376,-0.000,0.000,-0.000,0.002,0.003,0.000,-0.000,0.000,-0.000,0,0,5,0
